date,winner,win_score,loser,lose_score,extra_time
2016-10-12,St. Louis Blues,5,Chicago Blackhawks,2,n/a
2016-10-12,Edmonton Oilers,7,Calgary Flames,4,n/a
2016-10-12,Ottawa Senators,5,Toronto Maple Leafs,4,OT
2016-10-12,San Jose Sharks,2,Los Angeles Kings,1,n/a
2016-10-13,Montreal Canadiens,4,Buffalo Sabres,1,n/a
2016-10-13,Boston Bruins,6,Columbus Blue Jackets,3,n/a
2016-10-13,Dallas Stars,4,Anaheim Ducks,2,n/a
2016-10-13,Florida Panthers,2,New Jersey Devils,1,OT
2016-10-13,New York Rangers,5,New York Islanders,3,n/a
2016-10-13,Pittsburgh Penguins,3,Washington Capitals,2,SO
2016-10-13,St. Louis Blues,3,Minnesota Wild,2,n/a
2016-10-13,Tampa Bay Lightning,6,Detroit Red Wings,4,n/a
2016-10-13,Winnipeg Jets,5,Carolina Hurricanes,4,OT
2016-10-14,Edmonton Oilers,5,Calgary Flames,3,n/a
2016-10-14,Philadelphia Flyers,4,Los Angeles Kings,2,n/a
2016-10-14,Nashville Predators,3,Chicago Blackhawks,2,n/a
2016-10-15,Arizona Coyotes,4,Philadelphia Flyers,3,OT
2016-10-15,San Jose Sharks,3,Columbus Blue Jackets,2,n/a
2016-10-15,Chicago Blackhawks,5,Nashville Predators,3,n/a
2016-10-15,Colorado Avalanche,6,Dallas Stars,5,n/a
2016-10-15,Florida Panthers,4,Detroit Red Wings,1,n/a
2016-10-15,Minnesota Wild,4,Winnipeg Jets,3,n/a
2016-10-15,Ottawa Senators,4,Montreal Canadiens,3,SO
2016-10-15,Pittsburgh Penguins,3,Anaheim Ducks,2,n/a
2016-10-15,St. Louis Blues,3,New York Rangers,2,n/a
2016-10-15,Tampa Bay Lightning,3,New Jersey Devils,2,n/a
2016-10-15,Toronto Maple Leafs,4,Boston Bruins,1,n/a
2016-10-15,Vancouver Canucks,2,Calgary Flames,1,SO
2016-10-15,Washington Capitals,2,New York Islanders,1,n/a
2016-10-16,Buffalo Sabres,6,Edmonton Oilers,2,n/a
2016-10-16,New York Islanders,3,Anaheim Ducks,2,OT
2016-10-16,Vancouver Canucks,4,Carolina Hurricanes,3,OT
2016-10-17,Detroit Red Wings,5,Ottawa Senators,1,n/a
2016-10-17,New York Rangers,7,San Jose Sharks,4,n/a
2016-10-17,Colorado Avalanche,4,Pittsburgh Penguins,3,OT
2016-10-17,Boston Bruins,4,Winnipeg Jets,1,n/a
2016-10-18,Calgary Flames,4,Buffalo Sabres,3,OT
2016-10-18,Chicago Blackhawks,7,Philadelphia Flyers,4,n/a
2016-10-18,Edmonton Oilers,3,Carolina Hurricanes,2,n/a
2016-10-18,Minnesota Wild,6,Los Angeles Kings,3,n/a
2016-10-18,Montreal Canadiens,4,Pittsburgh Penguins,0,n/a
2016-10-18,New Jersey Devils,2,Anaheim Ducks,1,n/a
2016-10-18,Dallas Stars,2,Nashville Predators,1,n/a
2016-10-18,San Jose Sharks,3,New York Islanders,2,n/a
2016-10-18,Ottawa Senators,7,Arizona Coyotes,4,n/a
2016-10-18,Tampa Bay Lightning,4,Florida Panthers,3,SO
2016-10-18,Vancouver Canucks,2,St. Louis Blues,1,OT
2016-10-18,Washington Capitals,3,Colorado Avalanche,0,n/a
2016-10-19,Detroit Red Wings,2,New York Rangers,1,n/a
2016-10-19,Winnipeg Jets,5,Toronto Maple Leafs,4,OT
2016-10-20,Boston Bruins,2,New Jersey Devils,1,n/a
2016-10-20,Carolina Hurricanes,4,Calgary Flames,2,n/a
2016-10-20,Los Angeles Kings,4,Dallas Stars,3,OT
2016-10-20,Edmonton Oilers,3,St. Louis Blues,1,n/a
2016-10-20,Washington Capitals,4,Florida Panthers,2,n/a
2016-10-20,Minnesota Wild,3,Toronto Maple Leafs,2,n/a
2016-10-20,Montreal Canadiens,5,Arizona Coyotes,2,n/a
2016-10-20,Anaheim Ducks,3,Philadelphia Flyers,2,n/a
2016-10-20,Pittsburgh Penguins,3,San Jose Sharks,2,n/a
2016-10-20,Colorado Avalanche,4,Tampa Bay Lightning,0,n/a
2016-10-20,Vancouver Canucks,2,Buffalo Sabres,1,n/a
2016-10-21,Columbus Blue Jackets,3,Chicago Blackhawks,2,n/a
2016-10-21,Detroit Red Wings,5,Nashville Predators,3,n/a
2016-10-21,New York Islanders,3,Arizona Coyotes,2,n/a
2016-10-22,Montreal Canadiens,4,Boston Bruins,2,n/a
2016-10-22,St. Louis Blues,6,Calgary Flames,4,n/a
2016-10-22,Chicago Blackhawks,5,Toronto Maple Leafs,4,SO
2016-10-22,Columbus Blue Jackets,3,Dallas Stars,0,n/a
2016-10-22,Detroit Red Wings,3,San Jose Sharks,0,n/a
2016-10-22,Florida Panthers,5,Colorado Avalanche,2,n/a
2016-10-22,Los Angeles Kings,4,Vancouver Canucks,3,SO
2016-10-22,New Jersey Devils,2,Minnesota Wild,1,OT
2016-10-22,Nashville Predators,5,Pittsburgh Penguins,1,n/a
2016-10-22,Tampa Bay Lightning,4,Ottawa Senators,1,n/a
2016-10-22,Philadelphia Flyers,6,Carolina Hurricanes,3,n/a
2016-10-22,New York Rangers,4,Washington Capitals,2,n/a
2016-10-23,Anaheim Ducks,4,Vancouver Canucks,2,n/a
2016-10-23,New York Islanders,6,Minnesota Wild,3,n/a
2016-10-23,New York Rangers,3,Arizona Coyotes,2,n/a
2016-10-23,Edmonton Oilers,3,Winnipeg Jets,0,n/a
2016-10-24,Calgary Flames,3,Chicago Blackhawks,2,SO
2016-10-24,Montreal Canadiens,3,Philadelphia Flyers,1,n/a
2016-10-25,Minnesota Wild,5,Boston Bruins,0,n/a
2016-10-25,Dallas Stars,3,Winnipeg Jets,2,n/a
2016-10-25,Detroit Red Wings,4,Carolina Hurricanes,2,n/a
2016-10-25,Los Angeles Kings,3,Columbus Blue Jackets,2,OT
2016-10-25,New Jersey Devils,5,Arizona Coyotes,3,n/a
2016-10-25,Philadelphia Flyers,4,Buffalo Sabres,3,SO
2016-10-25,Pittsburgh Penguins,3,Florida Panthers,2,n/a
2016-10-25,San Jose Sharks,2,Anaheim Ducks,1,OT
2016-10-25,Calgary Flames,4,St. Louis Blues,1,n/a
2016-10-25,Tampa Bay Lightning,7,Toronto Maple Leafs,3,n/a
2016-10-25,Ottawa Senators,3,Vancouver Canucks,0,n/a
2016-10-26,Anaheim Ducks,6,Nashville Predators,1,n/a
2016-10-26,Edmonton Oilers,4,Washington Capitals,1,n/a
2016-10-26,Montreal Canadiens,3,New York Islanders,2,n/a
2016-10-26,New York Rangers,5,Boston Bruins,2,n/a
2016-10-27,Minnesota Wild,4,Buffalo Sabres,0,n/a
2016-10-27,Los Angeles Kings,3,Nashville Predators,2,OT
2016-10-27,Montreal Canadiens,3,Tampa Bay Lightning,1,n/a
2016-10-27,Arizona Coyotes,5,Philadelphia Flyers,4,n/a
2016-10-27,Pittsburgh Penguins,4,New York Islanders,2,n/a
2016-10-27,San Jose Sharks,3,Columbus Blue Jackets,1,n/a
2016-10-27,Detroit Red Wings,2,St. Louis Blues,1,SO
2016-10-27,Toronto Maple Leafs,3,Florida Panthers,2,n/a
2016-10-27,Winnipeg Jets,4,Dallas Stars,1,n/a
2016-10-28,Columbus Blue Jackets,4,Anaheim Ducks,0,n/a
2016-10-28,Carolina Hurricanes,3,New York Rangers,2,n/a
2016-10-28,Calgary Flames,5,Ottawa Senators,2,n/a
2016-10-28,Winnipeg Jets,1,Colorado Avalanche,0,n/a
2016-10-28,Chicago Blackhawks,3,New Jersey Devils,2,OT
2016-10-28,Edmonton Oilers,2,Vancouver Canucks,0,n/a
2016-10-29,Colorado Avalanche,3,Arizona Coyotes,2,n/a
2016-10-29,Buffalo Sabres,3,Florida Panthers,0,n/a
2016-10-29,Boston Bruins,1,Detroit Red Wings,0,n/a
2016-10-29,Minnesota Wild,4,Dallas Stars,0,n/a
2016-10-29,Montreal Canadiens,2,Toronto Maple Leafs,1,n/a
2016-10-29,New Jersey Devils,3,Tampa Bay Lightning,1,n/a
2016-10-29,Pittsburgh Penguins,5,Philadelphia Flyers,4,n/a
2016-10-29,San Jose Sharks,4,Nashville Predators,1,n/a
2016-10-29,St. Louis Blues,1,Los Angeles Kings,0,n/a
2016-10-29,Washington Capitals,5,Vancouver Canucks,2,n/a
2016-10-30,Philadelphia Flyers,4,Carolina Hurricanes,3,n/a
2016-10-30,Washington Capitals,3,Calgary Flames,1,n/a
